name,team,position,games_played,minutes_per_game,points,rebounds,assists,steals,blocks,field_goal_pct,three_point_pct,free_throw_pct,fantasy_value,fantasy_rank,player_id,draft_status,draft_price,draft_team
Tre Jones,SAS,PG,28.0,16.1,4.4,2.1,3.7,0.6,0.2,0.484,0.308,0.758,14.005966666666662,369,118510,available,0,
Julian Strawther,DEN,SG,65.0,21.3,9.0,2.2,1.3,0.6,0.2,0.432,0.349,0.822,13.973599999999996,370,364282,available,0,
Keaton Wallace,ATL,PG,31.0,16.2,5.4,1.6,2.6,0.9,0.3,0.401,0.329,1.0,13.956000000000003,371,915020,available,0,
Kyle Anderson,GSW,PF,36.0,15.0,5.3,3.1,2.3,0.7,0.6,0.45,0.365,0.667,13.924999999999997,372,838378,available,0,
Jabari Walker,POR,SF,60.0,12.5,5.2,3.5,0.6,0.6,0.1,0.515,0.389,0.69,13.858333333333333,373,57554,available,0,
Alex Reese,PHI,PF,14.0,15.3,5.3,3.3,0.3,0.7,0.7,0.472,0.366,0.75,13.833499999999995,374,171658,available,0,
Alex Reese,2TM,PF,15.0,14.4,5.1,3.1,0.3,0.7,0.7,0.481,0.366,0.75,13.829999999999998,375,171658,available,0,
Terry Rozier,MIA,PG,64.0,25.9,10.6,3.7,2.6,0.6,0.2,0.391,0.295,0.852,13.794466666666665,376,342728,available,0,
Marcus Smart,MEM,PG,19.0,21.1,8.7,2.3,3.7,1.2,0.3,0.358,0.322,0.833,13.59046666666666,377,374012,available,0,
Cameron Payne,NYK,PG,72.0,15.1,6.9,1.4,2.8,0.5,0.2,0.401,0.363,0.907,13.526033333333332,378,80738,available,0,
Mason Plumlee,PHO,C,74.0,17.6,4.5,6.1,1.8,0.4,0.6,0.619,0.0,0.648,13.524799999999995,379,922880,available,0,
Moses Brown,2TM,C,13.0,9.2,5.8,3.4,0.2,0.5,0.3,0.694,0.0,0.727,13.518399999999998,380,682103,available,0,
Nicolas Batum,LAC,PF,78.0,17.5,4.0,2.8,1.1,0.7,0.5,0.437,0.433,0.81,13.485,381,62580,available,0,
Neemias Queta,BOS,C,62.0,13.9,5.0,3.8,0.7,0.3,0.7,0.65,0.0,0.754,13.364433333333332,382,87022,available,0,
Alec Burks,MIA,SG,49.0,17.6,7.3,2.5,1.1,0.6,0.1,0.424,0.425,0.776,13.334266666666666,383,122965,available,0,
Yves Missi,NOP,C,73.0,26.8,9.1,8.2,1.4,0.5,1.3,0.547,0.0,0.623,13.254399999999997,384,658168,available,0,
Paul Reed,DET,C,45.0,9.7,4.1,2.7,1.0,0.9,0.6,0.507,0.286,0.762,13.246233333333333,385,438403,available,0,
Ja'Kobe Walter,TOR,SG,52.0,21.2,8.6,3.1,1.6,0.8,0.2,0.405,0.349,0.795,13.232666666666669,386,610075,available,0,
Daniel Theis,NOP,C,38.0,16.3,4.3,4.3,1.6,0.5,0.5,0.473,0.243,0.838,12.925733333333328,387,159450,available,0,
Bones Hyland,LAC,PG,20.0,11.1,7.2,1.2,1.4,0.9,0.2,0.391,0.388,0.885,12.892999999999999,388,669777,available,0,
Patrick Williams,CHI,PF,63.0,25.0,9.0,3.8,2.0,0.8,0.5,0.397,0.353,0.723,12.868333333333332,389,580355,available,0,
Davion Mitchell,TOR,PG,44.0,24.5,6.3,1.9,4.6,0.7,0.2,0.434,0.359,0.676,12.85533333333333,390,302937,available,0,
Jonathan Mogbo,TOR,PF,63.0,20.4,6.2,4.9,2.3,0.9,0.5,0.438,0.243,0.732,12.766799999999998,391,923020,available,0,
Kevin Porter Jr.,LAC,SG,45.0,19.6,9.3,3.6,3.2,1.0,0.2,0.423,0.245,0.645,12.709999999999997,392,153611,available,0,
Dennis Schröder,GSW,SG,24.0,26.2,10.6,2.3,4.4,1.0,0.1,0.375,0.322,0.744,12.579133333333333,393,31850,available,0,
Thomas Bryant,MIA,C,10.0,11.5,4.1,3.2,0.4,0.1,0.9,0.429,0.353,1.0,12.459999999999997,394,309293,available,0,
Isaac Okoro,CLE,SG,55.0,19.1,6.1,2.4,1.2,0.6,0.3,0.464,0.371,0.717,12.404033333333336,395,602341,available,0,
Zach Collins,SAS,C,36.0,11.8,4.6,2.8,1.4,0.4,0.4,0.462,0.304,0.886,12.39313333333333,396,90256,available,0,
Jamal Shead,TOR,PG,75.0,19.6,7.1,1.5,4.2,0.8,0.1,0.405,0.323,0.768,12.3728,397,123733,available,0,
David Roddy,ATL,PF,27.0,12.8,4.5,2.6,1.1,0.4,0.3,0.473,0.372,0.818,12.347066666666663,398,505204,available,0,
Antonio Reeves,NOP,SG,44.0,15.0,6.9,1.4,0.9,0.5,0.1,0.456,0.395,0.8,12.33,399,882162,available,0,
Tristan Da Silva,ORL,SF,74.0,22.0,7.2,3.3,1.5,0.4,0.2,0.412,0.335,0.873,12.26933333333333,400,83295,available,0,
Jaden Hardy,DAL,SG,57.0,15.9,8.7,1.6,1.4,0.5,0.1,0.435,0.386,0.698,12.182699999999997,401,641660,available,0,
Terance Mann,LAC,SG,37.0,19.8,6.0,2.9,1.6,0.8,0.3,0.446,0.347,0.719,12.124199999999998,402,173979,available,0,
Ben Simmons,2TM,PG,51.0,22.0,5.0,4.7,5.6,0.7,0.5,0.52,0.0,0.727,12.123999999999999,403,671713,available,0,
Mouhamed Gueye,ATL,PF,33.0,16.2,6.0,4.2,0.8,0.8,1.0,0.421,0.259,0.762,12.1104,404,421222,available,0,
Eric Gordon,PHI,SG,39.0,19.7,6.8,1.2,1.7,0.7,0.3,0.426,0.409,0.75,12.082666666666663,405,896259,available,0,
Jalen Wilson,BRK,PF,79.0,25.7,9.5,3.4,1.8,0.5,0.1,0.397,0.337,0.818,12.031933333333335,406,947531,available,0,
Mo Bamba,LAC,C,28.0,12.6,4.6,4.3,0.6,0.3,1.0,0.466,0.3,0.68,11.976999999999999,407,325909,available,0,
Caleb Martin,2TM,SF,45.0,27.1,7.9,3.9,2.1,1.0,0.5,0.424,0.359,0.622,11.973533333333329,408,672065,available,0,
Garrison Mathews,ATL,SG,47.0,17.7,7.5,1.9,1.3,0.6,0.3,0.397,0.39,0.821,11.8812,409,919557,available,0,
Cody Martin,2TM,SF,53.0,22.1,6.8,4.2,2.0,1.1,0.6,0.418,0.285,0.705,11.873499999999996,410,526232,available,0,
Kyshawn George,WAS,SG,68.0,26.5,8.7,4.2,2.5,1.0,0.7,0.372,0.322,0.753,11.760333333333328,411,184876,available,0,
Bogdan Bogdanović,ATL,SG,24.0,24.9,10.0,2.8,2.0,0.8,0.3,0.371,0.301,0.882,11.741799999999994,412,367992,available,0,
Josh Green,CHO,SG,68.0,27.8,7.4,2.5,1.6,1.1,0.2,0.428,0.391,0.681,11.7238,413,772820,available,0,
Moussa Diabaté,CHO,C,71.0,17.5,5.7,6.2,0.8,0.6,0.6,0.596,0.0,0.595,11.698333333333329,414,333259,available,0,
Pat Connaughton,MIL,SG,41.0,14.7,5.3,2.7,1.7,0.2,0.3,0.469,0.321,0.774,11.619799999999998,415,938058,available,0,
Mo Bamba,2TM,C,32.0,12.9,4.3,4.5,0.6,0.3,1.0,0.464,0.278,0.704,11.6061,416,325909,available,0,
Bones Hyland,2TM,PG,24.0,10.0,6.2,1.0,1.3,0.8,0.2,0.398,0.39,0.885,11.583333333333336,417,669777,available,0,
Svi Mykhailiuk,UTA,SF,38.0,20.0,8.8,2.4,2.0,0.5,0.2,0.391,0.345,0.8,11.58,418,544981,available,0,
Tony Bradley,IND,C,14.0,8.1,4.4,3.0,0.4,0.1,0.6,0.644,0.333,0.333,11.480299999999998,419,493232,available,0,
Dalano Banton,POR,PG,67.0,16.7,8.3,2.0,2.4,0.6,0.5,0.391,0.324,0.728,11.4711,420,57697,available,0,
Craig Porter Jr.,CLE,PG,51.0,10.1,3.7,1.3,1.4,0.3,0.3,0.514,0.438,0.719,11.4224,421,938087,available,0,
John Konchar,MEM,SG,46.0,12.1,2.4,3.3,0.9,0.7,0.3,0.451,0.371,0.875,11.415833333333332,422,353708,available,0,
Jeff Green,HOU,PF,32.0,12.4,5.4,1.8,0.6,0.2,0.1,0.504,0.367,0.808,11.360533333333334,423,692968,available,0,
Shake Milton,2TM,SG,57.0,14.7,5.5,1.8,1.8,0.4,0.1,0.453,0.358,0.797,11.350399999999999,424,827177,available,0,
Taj Gibson,CHO,C,37.0,11.1,2.9,3.2,0.6,0.2,0.5,0.495,0.5,0.6,11.349499999999999,425,183139,available,0,
Ben Sheppard,IND,SG,63.0,19.5,5.3,2.8,1.3,0.6,0.2,0.418,0.342,0.889,11.332999999999998,426,6749,available,0,
Wendell Moore Jr.,2TM,SG,36.0,13.9,4.2,2.6,1.2,0.6,0.1,0.468,0.341,0.818,11.3312,427,649987,available,0,
Jaylen Clark,MIN,SG,40.0,13.1,4.1,1.3,0.7,0.9,0.1,0.467,0.431,0.784,11.290733333333336,428,139918,available,0,
Trayce Jackson-Davis,GSW,C,62.0,15.6,6.6,5.0,1.7,0.4,0.6,0.576,0.0,0.578,11.280799999999996,429,872205,available,0,
A.J. Lawson,TOR,SG,26.0,18.7,9.1,3.3,1.2,0.5,0.2,0.421,0.327,0.683,11.219100000000001,430,737232,available,0,
Trey Lyles,SAC,PF,69.0,19.6,6.5,4.6,1.2,0.6,0.3,0.42,0.34,0.7,11.195333333333329,431,727314,available,0,
Jarred Vanderbilt,LAL,PF,36.0,16.1,4.1,5.1,1.1,1.0,0.3,0.488,0.281,0.556,11.143933333333333,432,737816,available,0,
Wendell Moore Jr.,CHO,SG,16.0,17.5,5.4,3.2,1.2,0.6,0.1,0.474,0.37,0.625,11.098333333333331,433,649987,available,0,
Talen Horton-Tucker,CHI,SG,58.0,12.5,6.5,1.7,1.4,0.4,0.2,0.457,0.336,0.735,10.94,434,353283,available,0,
Jordan Hawkins,NOP,SG,56.0,23.6,10.8,2.8,1.2,0.5,0.4,0.372,0.331,0.816,10.856266666666663,435,887919,available,0,
Jonathan Isaac,ORL,PF,71.0,15.4,5.4,4.4,0.6,0.9,1.1,0.414,0.258,0.682,10.706466666666667,436,655835,available,0,
Jordan McLaughlin,SAS,PG,18.0,6.9,2.5,0.5,1.5,0.3,0.1,0.536,0.45,1.0,10.678500000000001,437,327596,available,0,
Aaron Holiday,HOU,PG,62.0,12.8,5.5,1.3,1.3,0.3,0.2,0.437,0.398,0.829,10.646533333333332,438,996576,available,0,
Isaac Jones,SAC,PF,40.0,7.6,3.4,1.4,0.3,0.1,0.3,0.651,0.375,0.639,10.497066666666667,439,435765,available,0,
Jaylen Martin,WAS,SF,13.0,18.0,5.8,3.4,1.3,0.7,0.0,0.417,0.273,0.9,10.449999999999996,440,930977,available,0,
Markelle Fultz,SAC,PG,21.0,8.8,2.9,1.0,1.3,0.5,0.1,0.418,0.5,1.0,10.387333333333332,441,27680,available,0,
Keshad Johnson,MIA,SF,16.0,6.1,2.7,1.8,0.3,0.3,0.3,0.692,0.429,0.444,10.326733333333332,442,452628,available,0,
Ron Holland,DET,SF,81.0,15.6,6.4,2.7,1.0,0.6,0.2,0.474,0.238,0.754,10.3004,443,764660,available,0,
Kevin Huerter,SAC,SG,43.0,20.9,7.9,2.8,1.7,0.8,0.4,0.413,0.302,0.714,10.213433333333327,444,453948,available,0,
Javonte Green,2TM,SG,68.0,18.5,5.1,3.2,0.8,1.0,0.5,0.429,0.326,0.724,10.181499999999998,445,956467,available,0,
Micah Potter,UTA,C,38.0,18.6,4.3,4.3,0.8,0.4,0.4,0.422,0.316,0.85,10.176999999999996,446,82512,available,0,
Noah Clowney,BRK,PF,46.0,22.7,9.1,3.9,0.9,0.5,0.5,0.358,0.333,0.838,10.139599999999994,447,575707,available,0,
Monte Morris,PHO,PG,45.0,12.7,5.2,1.5,1.6,0.4,0.1,0.426,0.36,0.857,10.121066666666668,448,173949,available,0,
Charles Bassey,SAS,C,36.0,10.4,4.4,4.2,0.5,0.4,0.8,0.581,0.0,0.636,9.987066666666665,449,311789,available,0,
Delon Wright,NYK,PG,14.0,16.4,4.3,1.4,2.1,0.9,0.2,0.469,0.333,0.667,9.920799999999996,450,81213,available,0,
DaQuan Jeffries,CHO,SG,47.0,22.8,6.7,2.9,1.1,0.6,0.5,0.405,0.335,0.8,9.886,451,233101,available,0,
Wendell Moore Jr.,DET,SG,20.0,11.0,3.2,2.2,1.2,0.5,0.2,0.46,0.286,0.929,9.747333333333332,452,649987,available,0,
Jake LaRavia,SAC,PF,19.0,19.3,6.1,2.8,1.3,0.9,0.2,0.438,0.385,0.579,9.737033333333331,453,801527,available,0,
David Roddy,3TM,PF,33.0,12.4,4.6,2.5,1.1,0.4,0.3,0.456,0.311,0.769,9.7256,454,505204,available,0,
Jaylen Martin,2TM,SF,16.0,14.9,4.9,2.8,1.1,0.6,0.0,0.419,0.304,0.9,9.698499999999997,455,930977,available,0,
Marvin Bagley III,WAS,C,19.0,8.7,4.9,2.9,0.4,0.4,0.3,0.535,0.2,0.652,9.603900000000001,456,730928,available,0,
Terrence Shannon Jr.,MIN,SG,32.0,10.6,4.3,1.5,1.0,0.2,0.2,0.482,0.355,0.81,9.541999999999996,457,69407,available,0,
Vince Williams Jr.,MEM,SG,27.0,18.5,6.6,3.6,2.0,0.4,0.3,0.401,0.274,0.792,9.4895,458,632057,available,0,
Cam Spencer,MEM,SG,25.0,10.1,4.2,1.2,1.4,0.4,0.0,0.415,0.365,1.0,9.478666666666665,459,815288,available,0,
Kevin Love,MIA,PF,23.0,10.9,5.3,4.1,1.0,0.7,0.2,0.357,0.358,0.696,9.453233333333328,460,854340,available,0,
Vasilije Micić,CHO,PG,36.0,21.2,7.5,2.4,3.5,0.4,0.0,0.348,0.36,0.829,9.424133333333327,461,519130,available,0,
Gui Santos,GSW,PF,56.0,13.6,4.1,3.1,1.4,0.4,0.2,0.458,0.33,0.69,9.385333333333328,462,314430,available,0,
DeAndre Jordan,DEN,C,56.0,12.3,3.7,5.1,0.9,0.3,0.5,0.65,0.0,0.422,9.269099999999998,463,776295,available,0,
Jalen Pickett,DEN,SG,49.0,13.6,4.1,1.4,2.2,0.4,0.1,0.428,0.396,0.75,9.197333333333333,464,430753,available,0,
Dominick Barlow,ATL,SF,35.0,10.7,4.2,2.4,0.5,0.3,0.5,0.531,0.259,0.636,9.152866666666668,465,776737,available,0,
Simone Fontecchio,DET,SF,75.0,16.5,5.9,2.9,0.9,0.4,0.2,0.402,0.335,0.833,9.1145,466,348694,available,0,
Dalen Terry,CHI,SG,73.0,13.5,4.5,1.7,1.3,0.6,0.2,0.448,0.356,0.71,8.977499999999997,467,940880,available,0,
Jalen Hood-Schifino,PHI,SG,13.0,23.2,7.8,2.0,2.8,0.4,0.5,0.371,0.304,0.842,8.910399999999994,468,96048,available,0,
Malaki Branham,SAS,SG,47.0,9.1,5.0,1.1,0.8,0.2,0.0,0.458,0.405,0.818,8.860133333333334,469,63058,available,0,
Jalen Hood-Schifino,2TM,SG,15.0,21.0,7.1,1.8,2.5,0.3,0.5,0.378,0.304,0.857,8.801999999999998,470,96048,available,0,
Maxwell Lewis,BRK,SF,21.0,14.2,5.3,2.5,0.8,0.4,0.3,0.422,0.38,0.7,8.783666666666663,471,212705,available,0,
Julian Phillips,CHI,SF,79.0,14.2,4.6,2.1,0.5,0.5,0.3,0.446,0.327,0.789,8.599133333333333,472,141300,available,0,
Isaiah Wong,CHO,SG,20.0,13.3,6.0,1.6,1.4,0.6,0.0,0.39,0.394,0.735,8.539333333333332,473,225496,available,0,
Colby Jones,2TM,SG,39.0,13.2,4.0,2.2,1.1,0.7,0.3,0.457,0.327,0.657,8.4784,474,505586,available,0,
Kai Jones,LAC,C,28.0,7.4,2.2,1.6,0.4,0.2,0.5,0.722,0.0,0.75,8.435666666666666,475,601596,available,0,
AJ Johnson,WAS,SG,22.0,27.0,9.1,2.4,3.1,0.5,0.1,0.381,0.247,0.886,8.422,476,708036,available,0,
Vasilije Micić,2TM,PG,41.0,19.1,6.6,2.2,3.1,0.4,0.0,0.348,0.36,0.829,8.417733333333329,477,519130,available,0,
Duop Reath,POR,C,46.0,10.2,4.2,2.0,0.6,0.3,0.3,0.422,0.321,0.909,8.4058,478,36530,available,0,
Lester Quiñones,2TM,SG,13.0,14.1,6.6,1.5,1.8,0.2,0.2,0.397,0.295,0.846,8.389599999999998,479,378718,available,0,
Jae'Sean Tate,HOU,SF,52.0,11.3,3.6,2.3,0.9,0.5,0.1,0.473,0.348,0.681,8.372466666666664,480,320660,available,0,
Marcus Bagley,PHI,SF,10.0,25.3,6.7,7.0,1.0,0.9,1.2,0.391,0.156,0.8,8.352499999999996,481,521001,available,0,
Landry Shamet,NYK,SG,50.0,15.2,5.7,1.2,0.5,0.5,0.0,0.461,0.397,0.667,8.280400000000002,482,686823,available,0,
Caleb Houstan,ORL,SF,58.0,13.6,4.1,1.3,0.6,0.4,0.1,0.421,0.4,0.882,8.245866666666666,483,243438,available,0,
Branden Carlson,OKC,C,32.0,7.7,3.8,1.7,0.4,0.2,0.7,0.443,0.333,0.778,8.149266666666666,484,403355,available,0,
Trevelin Queen,ORL,SG,31.0,13.9,4.9,1.7,1.2,1.0,0.3,0.381,0.286,0.857,7.988133333333332,485,846344,available,0,
Torrey Craig,2TM,SF,26.0,12.1,4.2,2.8,0.7,0.3,0.5,0.422,0.364,0.667,7.888199999999998,486,354279,available,0,
GG Jackson II,MEM,PF,29.0,15.8,7.2,3.2,1.0,0.4,0.2,0.372,0.337,0.725,7.835666666666664,487,773315,available,0,
AJ Johnson,2TM,SG,29.0,22.0,7.6,2.0,2.6,0.4,0.1,0.385,0.267,0.865,7.810000000000002,488,708036,available,0,
Andre Jackson Jr.,MIL,SG,67.0,14.6,3.4,2.7,1.2,0.5,0.2,0.477,0.395,0.5,7.765999999999999,489,891413,available,0,
Zeke Nnaji,DEN,PF,57.0,10.7,3.2,1.6,0.4,0.4,0.7,0.496,0.327,0.614,7.671799999999998,490,575083,available,0,
KJ Martin,UTA,SF,19.0,22.7,6.3,2.8,1.5,0.3,0.3,0.49,0.189,0.722,7.6263999999999985,491,444967,available,0,
Lamar Stevens,MEM,PF,17.0,9.1,4.4,2.2,0.5,0.3,0.2,0.46,0.296,0.727,7.609533333333333,492,532386,available,0,
Marvin Bagley III,2TM,PF,31.0,8.5,4.4,2.7,0.4,0.3,0.3,0.519,0.158,0.657,7.592000000000001,493,730928,available,0,
Jamal Cain,NOP,SF,37.0,13.6,5.3,2.3,0.6,0.6,0.2,0.43,0.325,0.68,7.506666666666664,494,87144,available,0,
Oso Ighodaro,PHO,PF,61.0,17.1,4.2,3.6,1.2,0.5,0.5,0.604,0.0,0.58,7.420499999999995,495,549223,available,0,
Colin Castleton,3TM,C,26.0,16.6,4.7,4.7,1.1,0.3,0.4,0.469,0.125,0.763,7.389133333333329,496,93585,available,0,
Shake Milton,LAL,SG,30.0,11.5,3.9,1.8,1.3,0.3,0.1,0.433,0.294,0.846,7.3815,497,827177,available,0,
Jaylon Tyson,CLE,SG,47.0,9.6,3.6,2.0,0.9,0.3,0.1,0.43,0.345,0.792,7.225199999999999,498,679761,available,0,
Ricky Council IV,PHI,SF,73.0,17.1,7.3,2.9,1.3,0.4,0.2,0.382,0.258,0.804,7.159899999999998,499,645139,available,0,
Bruno Fernando,TOR,C,17.0,8.6,3.4,3.0,1.1,0.2,0.5,0.531,0.0,0.75,7.152333333333332,500,850052,available,0,
Pelle Larsson,MIA,SG,55.0,14.2,4.6,1.7,1.2,0.6,0.1,0.438,0.337,0.672,7.065733333333332,501,593296,available,0,
Josh Minott,MIN,SF,46.0,6.0,2.6,1.0,0.4,0.3,0.3,0.489,0.326,0.895,6.98,502,788288,available,0,
Maxwell Lewis,2TM,SF,28.0,11.7,4.1,2.0,0.7,0.3,0.3,0.417,0.38,0.7,6.834499999999998,503,212705,available,0,
Ousmane Dieng,OKC,C,37.0,10.9,3.8,2.2,0.8,0.5,0.2,0.432,0.324,0.688,6.793366666666664,504,411604,available,0,
Bismack Biyombo,SAS,C,28.0,18.9,5.1,5.6,1.1,0.6,0.8,0.588,0.0,0.4,6.739499999999996,505,69529,available,0,
Kylor Kelley,2TM,C,11.0,11.5,3.1,3.5,0.5,0.1,0.3,0.636,0.0,0.6,6.739166666666668,506,573835,available,0,
KJ Simpson,CHO,PG,36.0,23.4,7.8,3.0,3.1,0.9,0.2,0.346,0.254,0.82,6.674999999999994,507,602174,available,0,
Cory Joseph,ORL,PG,50.0,12.2,3.5,1.5,1.4,0.5,0.1,0.403,0.364,0.778,6.633933333333333,508,419978,available,0,
Dariq Whitehead,BRK,SF,20.0,12.3,5.7,1.5,0.6,0.3,0.1,0.406,0.446,0.6,6.627500000000001,509,544399,available,0,
Reggie Jackson,PHI,PG,31.0,12.4,4.4,1.4,1.5,0.5,0.1,0.391,0.338,0.778,6.488533333333335,510,890601,available,0,
Jericho Sims,2TM,C,53.0,11.9,1.8,3.7,0.6,0.2,0.4,0.634,0.0,0.615,6.441000000000002,511,100886,available,0,
Elfrid Payton,NOP,PG,18.0,21.6,4.4,3.7,8.1,1.0,0.4,0.366,0.167,0.571,6.419599999999992,512,955433,available,0,
Patty Mills,LAC,PG,12.0,5.1,3.1,0.1,0.4,0.1,0.0,0.5,0.5,0.889,6.4184,513,461779,available,0,
Reed Sheppard,HOU,PG,52.0,12.6,4.4,1.5,1.4,0.7,0.3,0.351,0.338,0.813,6.360799999999999,514,817227,available,0,
Gabe Vincent,LAL,PG,72.0,21.2,6.4,1.3,1.4,0.7,0.2,0.4,0.353,0.714,6.343466666666664,515,267939,available,0,
Dean Wade,CLE,PF,59.0,21.2,5.4,4.2,1.3,0.7,0.3,0.413,0.36,0.533,6.302266666666663,516,318711,available,0,
Kyle Lowry,PHI,PG,35.0,18.8,3.9,1.9,2.7,0.9,0.3,0.35,0.33,0.818,6.241066666666662,517,678321,available,0,
Ryan Dunn,PHO,SF,74.0,19.1,6.9,3.6,0.8,0.6,0.5,0.43,0.311,0.487,6.176366666666667,518,775335,available,0,
Tyler Smith,MIL,PF,23.0,5.3,2.9,1.1,0.2,0.1,0.2,0.48,0.433,0.75,6.126666666666666,519,923738,available,0,
RayJ Dennis,IND,PG,11.0,6.4,2.7,1.1,1.3,0.6,0.2,0.333,0.286,1.0,6.1193333333333335,520,794045,available,0,
Kevin Knox,GSW,SF,14.0,6.0,3.3,1.2,0.4,0.1,0.3,0.5,0.267,0.75,6.079999999999998,521,292527,available,0,
Rob Dillingham,MIN,PG,49.0,10.5,4.5,1.0,2.0,0.4,0.0,0.441,0.338,0.533,5.993999999999999,522,325898,available,0,
Steven Adams,HOU,C,58.0,13.7,3.9,5.6,1.1,0.4,0.5,0.545,0.0,0.462,5.932566666666668,523,914397,available,0,
Christian Koloko,LAL,C,37.0,9.2,2.4,2.5,0.4,0.2,0.4,0.606,0.0,0.714,5.920133333333332,524,706370,available,0,
Jevon Carter,CHI,PG,36.0,8.9,4.3,1.1,1.1,0.4,0.1,0.377,0.333,0.8,5.862666666666667,525,339657,available,0,
Luka Garza,MIN,C,39.0,5.6,3.5,1.4,0.3,0.2,0.1,0.495,0.278,0.686,5.751600000000001,526,910739,available,0,
Patty Mills,UTA,PG,17.0,15.3,4.4,1.2,1.2,0.7,0.2,0.342,0.298,1.0,5.724499999999997,527,461779,available,0,
Blake Wesley,SAS,SG,58.0,11.8,3.7,1.1,2.0,0.6,0.1,0.435,0.293,0.623,5.671399999999998,528,102093,available,0,
Patty Mills,2TM,PG,29.0,11.1,3.8,0.8,0.9,0.4,0.1,0.375,0.347,0.929,5.600899999999999,529,461779,available,0,
Lindy Waters III,GSW,SG,38.0,17.2,5.5,2.5,1.1,0.6,0.3,0.371,0.331,0.727,5.574399999999998,530,323049,available,0,
Jordan Miller,LAC,SF,37.0,11.4,4.1,1.6,0.9,0.5,0.1,0.433,0.211,0.8,5.2559999999999985,531,97857,available,0,
Jordan McLaughlin,2TM,PG,46.0,6.8,2.1,0.7,1.1,0.3,0.0,0.431,0.413,0.773,5.215733333333333,532,327596,available,0,
Alex Ducas,OKC,SG,21.0,6.0,1.7,1.2,0.2,0.2,0.0,0.4,0.476,1.0,5.169999999999999,533,729313,available,0,
JT Thor,2TM,PF,20.0,12.5,3.6,2.4,0.3,0.4,0.5,0.424,0.286,0.682,5.050833333333332,534,866237,available,0,
Drew Eubanks,LAC,C,24.0,7.4,2.7,2.4,0.4,0.1,0.3,0.551,0.0,0.786,5.044066666666667,535,610182,available,0,
Ben Simmons,LAC,PG,18.0,16.4,2.9,3.8,3.1,0.7,0.4,0.434,0.0,0.857,5.001466666666665,536,671713,available,0,
Lindy Waters III,2TM,SG,52.0,15.0,4.9,2.1,1.0,0.5,0.2,0.369,0.344,0.727,4.899999999999997,537,323049,available,0,
Drew Peterson,BOS,PF,25.0,7.4,2.2,1.6,0.5,0.2,0.1,0.415,0.394,0.778,4.879533333333333,538,933127,available,0,
Jericho Sims,NYK,C,39.0,10.8,1.6,3.3,0.6,0.2,0.3,0.609,0.0,0.615,4.791999999999996,539,100886,available,0,
Ariel Hukporti,NYK,C,25.0,8.7,1.9,2.0,0.4,0.0,0.6,0.677,0.0,0.462,4.788900000000002,540,214280,available,0,
Kobe Bufkin,ATL,SG,10.0,12.4,5.3,2.1,1.7,0.3,0.2,0.383,0.211,0.722,4.578800000000001,541,474933,available,0,
Alex Len,SAC,C,36.0,7.2,1.4,1.8,0.8,0.2,0.5,0.537,0.167,0.538,4.4696,542,265269,available,0,
Marvin Bagley III,MEM,PF,12.0,8.3,3.6,2.3,0.3,0.2,0.3,0.486,0.111,0.667,4.439433333333334,543,730928,available,0,
Damion Baugh,CHO,SG,15.0,24.7,7.3,3.3,3.7,1.0,0.1,0.323,0.214,0.867,4.351400000000001,544,682319,available,0,
Anthony Gill,WAS,PF,51.0,7.8,2.5,1.3,0.3,0.2,0.0,0.489,0.323,0.66,4.252000000000001,545,609953,available,0,
Pat Spencer,GSW,PG,39.0,6.4,2.5,1.2,1.2,0.4,0.1,0.406,0.227,0.733,4.2085333333333335,546,362500,available,0,
Jaden Springer,UTA,PG,17.0,13.2,3.8,2.0,1.4,0.7,0.2,0.411,0.207,0.706,4.1711999999999945,547,252832,available,0,
Alex Len,2TM,C,46.0,8.3,1.6,2.1,0.8,0.2,0.5,0.508,0.222,0.471,4.066799999999999,548,265269,available,0,
Baylor Scheierman,BOS,SG,31.0,12.4,3.6,2.1,1.1,0.5,0.1,0.355,0.317,0.75,3.659333333333332,549,890316,available,0,
Kobe Brown,LAC,PF,40.0,6.8,1.9,1.6,0.6,0.2,0.1,0.458,0.231,0.714,3.4938666666666665,550,139845,available,0,
Johnny Furphy,IND,SG,50.0,7.6,2.1,1.4,0.4,0.4,0.2,0.38,0.3,0.818,3.492133333333334,551,516140,available,0,
Olivier-Maxence Prosper,DAL,PF,52.0,11.2,3.9,2.4,0.8,0.5,0.1,0.402,0.235,0.645,3.489333333333335,552,972888,available,0,
Pete Nance,2TM,C,13.0,10.6,2.9,1.6,0.8,0.2,0.2,0.438,0.375,0.5,3.474666666666667,553,32125,available,0,
Rayan Rupert,POR,SG,52.0,8.8,3.0,1.3,0.5,0.3,0.1,0.408,0.271,0.767,3.3449333333333326,554,676001,available,0,
Damion Lee,PHO,SG,25.0,5.8,3.3,0.8,0.4,0.2,0.0,0.365,0.243,0.952,3.3449333333333313,555,3928,available,0,
Caleb Martin,DAL,SF,14.0,19.6,5.4,2.9,1.9,0.9,0.2,0.389,0.25,0.625,3.2699999999999956,556,672065,available,0,
Devin Carter,SAC,PG,36.0,11.0,3.8,2.1,1.1,0.6,0.1,0.37,0.295,0.591,3.224333333333332,557,946518,available,0,
Trey Jemison,LAL,C,22.0,10.3,2.6,2.8,0.3,0.1,0.4,0.619,0.0,0.417,3.1925999999999983,558,145663,available,0,
