name,team,position,games_played,minutes_per_game,points,rebounds,assists,steals,blocks,field_goal_pct,three_point_pct,free_throw_pct,fantasy_value,fantasy_rank,player_id,draft_status,draft_price,draft_team
Brandon Williams,DAL,PG,33.0,14.8,8.3,1.8,2.3,0.7,0.2,0.521,0.4,0.833,21.0204,231,257682,available,0,
Chris Boucher,TOR,PF,50.0,17.2,10.0,4.5,0.7,0.5,0.5,0.492,0.363,0.782,20.975066666666667,232,686888,available,0,
Davion Mitchell,2TM,PG,74.0,27.4,7.9,2.3,4.9,1.0,0.2,0.468,0.398,0.69,20.925000000000004,233,302937,available,0,
Gradey Dick,TOR,SG,54.0,29.4,14.4,3.6,1.8,0.9,0.2,0.41,0.35,0.858,20.888199999999994,234,427296,available,0,
Vit Krejci,ATL,PG,57.0,20.2,7.2,2.7,2.6,0.6,0.5,0.497,0.437,0.711,20.82486666666666,235,567218,available,0,
Kyle Kuzma,MIL,PF,33.0,31.8,14.5,5.6,2.2,0.5,0.4,0.455,0.333,0.663,20.743399999999998,236,178418,available,0,
Kevin Porter Jr.,2TM,SG,75.0,19.8,10.3,3.7,3.4,1.1,0.2,0.449,0.311,0.769,20.684200000000004,237,153611,available,0,
D'Angelo Russell,2TM,PG,58.0,25.5,12.6,2.8,5.1,1.0,0.4,0.39,0.314,0.834,20.644499999999997,238,57519,available,0,
Duncan Robinson,MIA,SF,74.0,24.1,11.0,2.3,2.4,0.5,0.1,0.437,0.393,0.887,20.61403333333333,239,651298,available,0,
Max Christie,DAL,SG,32.0,30.4,11.2,4.2,2.5,0.9,0.3,0.411,0.364,0.862,20.560133333333322,240,833836,available,0,
Bogdan Bogdanović,2TM,SG,54.0,25.0,10.8,2.9,2.7,0.8,0.2,0.427,0.363,0.879,20.555,241,367992,available,0,
Stephon Castle,SAS,PG,81.0,26.7,14.7,3.7,4.1,0.9,0.3,0.428,0.285,0.724,20.54179999999999,242,440663,available,0,
Georges Niang,ATL,PF,28.0,23.0,12.1,3.0,1.6,0.4,0.3,0.441,0.413,0.793,20.498999999999995,243,896951,available,0,
D'Angelo Russell,BRK,PG,29.0,24.7,12.9,2.8,5.6,1.1,0.7,0.367,0.297,0.826,20.3282,244,57519,available,0,
Jaxson Hayes,LAL,C,56.0,19.5,6.8,4.8,1.0,0.6,0.9,0.722,0.0,0.622,20.3215,245,394334,available,0,
Richaun Holmes,WAS,PF,31.0,17.2,7.4,5.7,1.4,0.3,0.7,0.647,0.0,0.833,20.222933333333327,246,813408,available,0,
Corey Kispert,WAS,SF,61.0,26.3,11.6,3.0,1.7,0.4,0.2,0.451,0.364,0.852,20.172433333333334,247,533207,available,0,
Alex Caruso,OKC,SG,54.0,19.3,7.1,2.9,2.5,1.6,0.6,0.446,0.353,0.824,20.17086666666667,248,16957,available,0,
Tristan Vukcevic,WAS,C,35.0,14.7,9.4,3.7,1.1,0.3,0.7,0.496,0.373,0.776,20.1462,249,542519,available,0,
Gary Trent Jr.,MIL,SG,74.0,25.6,11.1,2.3,1.2,1.0,0.1,0.431,0.416,0.848,19.975466666666662,250,8935,available,0,
Trendon Watford,BRK,PF,44.0,20.8,10.2,3.6,2.6,0.6,0.3,0.469,0.33,0.762,19.8096,251,605588,available,0,
Matisse Thybulle,POR,SG,15.0,20.8,7.5,3.5,1.9,2.2,0.6,0.477,0.438,0.467,19.802266666666664,252,805553,available,0,
Jerami Grant,POR,PF,47.0,32.4,14.4,3.5,2.1,0.9,1.0,0.373,0.365,0.849,19.749599999999994,253,814965,available,0,
Luguentz Dort,OKC,SF,71.0,29.2,10.1,4.1,1.6,1.1,0.5,0.435,0.412,0.717,19.747733333333333,254,648794,available,0,
Brandon Boston Jr.,NOP,SG,42.0,23.6,10.7,3.2,2.2,1.3,0.2,0.436,0.35,0.788,19.657466666666668,255,128828,available,0,
Zaccharie Risacher,ATL,SF,75.0,24.6,12.6,3.6,1.2,0.7,0.5,0.458,0.355,0.711,19.638599999999997,256,367930,available,0,
Khris Middleton,WAS,SF,14.0,22.1,10.7,3.7,3.4,1.3,0.2,0.413,0.277,0.868,19.6128,257,342907,available,0,
Dante Exum,DAL,PG,20.0,18.6,8.7,1.7,2.8,0.6,0.2,0.478,0.434,0.742,19.578199999999995,258,713050,available,0,
Keion Brooks Jr.,NOP,SF,14.0,23.7,10.1,4.1,0.9,0.7,0.7,0.486,0.326,0.733,19.574599999999997,259,619824,available,0,
Zach Collins,2TM,PF,64.0,15.3,6.4,4.5,1.7,0.5,0.5,0.507,0.302,0.885,19.492,260,90256,available,0,
Jose Alvarado,NOP,PG,56.0,24.4,10.3,2.4,4.6,1.3,0.3,0.392,0.359,0.811,19.45506666666666,261,205978,available,0,
Kyle Anderson,MIA,SF,25.0,18.4,6.7,3.8,2.6,0.6,0.5,0.493,0.333,0.789,19.361600000000003,262,838378,available,0,
Jake LaRavia,2TM,PF,66.0,20.4,6.9,3.9,2.4,0.9,0.3,0.475,0.423,0.678,19.351199999999995,263,801527,available,0,
Georges Niang,2TM,PF,79.0,21.5,9.9,3.4,1.4,0.4,0.2,0.461,0.406,0.793,19.342,264,896951,available,0,
Drew Eubanks,2TM,C,61.0,12.2,4.6,3.7,0.9,0.2,0.6,0.593,0.5,0.662,19.300733333333334,265,610182,available,0,
Royce O'Neale,PHO,SF,75.0,24.5,9.1,4.7,2.2,0.9,0.5,0.423,0.406,0.731,19.28366666666666,266,233969,available,0,
Alex Sarr,WAS,C,67.0,27.1,13.0,6.5,2.4,0.7,1.5,0.394,0.308,0.679,19.27473333333333,267,21128,available,0,
Julian Champagnie,SAS,SF,82.0,23.6,9.9,3.9,1.4,0.7,0.4,0.415,0.371,0.904,19.209066666666665,268,770979,available,0,
Nick Richards,2TM,C,57.0,22.0,9.3,8.2,0.9,0.2,1.0,0.591,0.0,0.744,19.154666666666664,269,194633,available,0,
Jaylin Williams,OKC,PF,47.0,16.7,5.9,5.6,2.6,0.5,0.6,0.439,0.399,0.767,19.101900000000008,270,238730,available,0,
Peyton Watson,DEN,SF,68.0,24.4,8.1,3.4,1.4,0.7,1.4,0.477,0.353,0.693,18.945199999999993,271,745335,available,0,
Jared Butler,2TM,SG,60.0,17.4,9.0,1.8,3.7,0.7,0.2,0.448,0.355,0.824,18.899600000000003,272,190026,available,0,
Jalen Smith,CHI,C,64.0,15.0,8.2,5.6,1.0,0.3,0.7,0.466,0.324,0.809,18.879999999999995,273,522283,available,0,
Luke Kornet,BOS,C,73.0,18.6,6.0,5.3,1.6,0.5,1.0,0.668,0.0,0.691,18.8756,274,289336,available,0,
Cole Anthony,ORL,PG,67.0,18.4,9.4,3.0,2.9,0.7,0.5,0.424,0.353,0.823,18.858533333333334,275,587083,available,0,
Lonnie Walker IV,PHI,SG,20.0,23.9,12.4,3.2,2.5,0.5,0.3,0.42,0.354,0.8,18.844833333333334,276,728909,available,0,
Bilal Coulibaly,WAS,SF,59.0,33.0,12.3,5.0,3.4,1.3,0.7,0.421,0.281,0.746,18.817999999999998,277,441061,available,0,
Brandon Clarke,MEM,PF,64.0,18.9,8.3,5.1,1.0,0.8,0.6,0.621,0.059,0.701,18.8159,278,659586,available,0,
Spencer Dinwiddie,DAL,PG,79.0,27.0,11.0,2.6,4.4,0.9,0.2,0.416,0.334,0.802,18.809,279,778666,available,0,
Gary Payton II,GSW,SG,62.0,15.0,6.5,3.0,1.3,0.8,0.3,0.574,0.326,0.711,18.79,280,844497,available,0,
Nickeil Alexander-Walker,MIN,SG,82.0,25.3,9.4,3.2,2.7,0.6,0.4,0.438,0.381,0.78,18.687666666666665,281,197149,available,0,
Max Christie,2TM,SG,78.0,27.3,9.6,3.3,1.9,0.8,0.4,0.427,0.366,0.855,18.644999999999992,282,833836,available,0,
Orlando Robinson,TOR,C,35.0,20.4,8.1,5.9,1.9,0.4,0.4,0.447,0.34,0.794,18.6416,283,934180,available,0,
Isaiah Joe,OKC,SG,74.0,21.7,10.2,2.6,1.6,0.6,0.1,0.44,0.412,0.821,18.6012,284,45874,available,0,
Georges Niang,CLE,PF,51.0,20.6,8.7,3.7,1.3,0.3,0.1,0.477,0.4,0.793,18.583466666666666,285,896951,available,0,
Mitchell Robinson,NYK,C,17.0,17.1,5.1,5.9,0.8,0.9,1.1,0.661,0.0,0.684,18.507899999999996,286,678754,available,0,
Thomas Bryant,IND,C,56.0,15.1,6.9,3.9,0.9,0.5,0.6,0.515,0.321,0.83,18.394333333333332,287,309293,available,0,
Oscar Tshiebwe,UTA,C,14.0,18.2,7.6,8.7,0.6,0.9,0.1,0.6,0.0,0.742,18.36673333333333,288,397281,available,0,
Buddy Hield,GSW,SG,82.0,22.7,11.1,3.2,1.6,0.8,0.3,0.417,0.37,0.828,18.28676666666666,289,809130,available,0,
Jaime Jaquez Jr.,MIA,SF,66.0,20.7,8.6,4.4,2.5,0.9,0.2,0.461,0.311,0.754,18.2528,290,209135,available,0,
Matas Buzelis,CHI,SF,80.0,18.9,8.6,3.5,1.0,0.4,0.9,0.454,0.361,0.815,18.042499999999997,291,893175,available,0,
Colin Castleton,TOR,C,11.0,26.2,7.2,6.9,1.6,0.5,0.7,0.5,0.25,0.722,17.9954,292,93585,available,0,
Kentavious Caldwell-Pope,ORL,SG,77.0,29.6,8.7,2.2,1.8,1.3,0.4,0.439,0.342,0.863,17.896799999999995,293,951420,available,0,
Max Christie,LAL,SG,46.0,25.1,8.5,2.7,1.4,0.8,0.5,0.444,0.368,0.851,17.8906,294,833836,available,0,
Wendell Carter Jr.,ORL,C,68.0,25.9,9.1,7.2,2.0,0.8,0.6,0.46,0.234,0.737,17.7398,295,602906,available,0,
Bub Carrington,WAS,PG,82.0,30.0,9.8,4.2,4.4,0.7,0.3,0.401,0.339,0.812,17.700000000000003,296,55833,available,0,
Kyle Kuzma,2TM,PF,65.0,29.8,14.8,5.7,2.3,0.6,0.3,0.436,0.307,0.634,17.67786666666666,297,178418,available,0,
Kevon Looney,GSW,C,76.0,15.0,4.5,6.1,1.6,0.6,0.5,0.514,0.4,0.566,17.634999999999998,298,139486,available,0,
Justin Edwards,PHI,SF,44.0,26.3,10.1,3.4,1.6,1.0,0.4,0.455,0.363,0.696,17.60646666666666,299,711892,available,0,
Adem Bona,PHI,C,58.0,15.6,5.8,4.2,0.5,0.4,1.2,0.703,0.0,0.67,17.559999999999995,300,314110,available,0,
Thomas Bryant,2TM,C,66.0,14.6,6.5,3.8,0.8,0.4,0.6,0.508,0.324,0.859,17.508399999999995,301,309293,available,0,
Ziaire Williams,BRK,SF,63.0,24.5,10.0,4.6,1.3,1.0,0.4,0.412,0.341,0.821,17.36616666666666,302,892726,available,0,
Colby Jones,WAS,SG,15.0,25.7,8.7,4.3,2.5,1.3,0.4,0.466,0.308,0.657,17.193066666666663,303,505586,available,0,
Kessler Edwards,DAL,SF,40.0,15.2,4.2,2.9,1.1,0.5,0.5,0.496,0.407,0.923,17.138266666666663,304,839105,available,0,
Terance Mann,2TM,SG,67.0,21.1,7.7,3.0,1.8,0.7,0.2,0.496,0.368,0.691,17.10793333333333,305,173979,available,0,
Jared Rhoden,2TM,SG,14.0,16.2,8.4,3.0,1.1,0.7,0.1,0.483,0.308,0.88,17.102999999999998,306,765759,available,0,
Bruce Brown,TOR,PG,18.0,19.6,8.4,3.8,1.6,0.9,0.2,0.435,0.306,0.897,17.06586666666667,307,833423,available,0,
Ryan Rollins,MIL,PG,56.0,14.6,6.2,1.9,1.9,0.8,0.3,0.487,0.408,0.8,17.038999999999998,308,65299,available,0,
Quinten Post,GSW,PF,42.0,16.3,8.1,3.5,1.3,0.4,0.4,0.449,0.408,0.778,16.916233333333334,309,713195,available,0,
Anthony Black,ORL,PG,78.0,24.2,9.4,2.9,3.1,1.1,0.6,0.423,0.318,0.761,16.886533333333333,310,839836,available,0,
Ajay Mitchell,OKC,SG,36.0,16.6,6.5,1.9,1.8,0.7,0.1,0.495,0.383,0.829,16.851399999999998,311,707538,available,0,
Miles McBride,NYK,PG,64.0,24.9,9.5,2.5,2.9,1.0,0.3,0.406,0.369,0.813,16.8407,312,479749,available,0,
Moses Moody,GSW,SG,74.0,22.3,9.8,2.6,1.3,0.8,0.4,0.433,0.374,0.797,16.804933333333338,313,240548,available,0,
KJ Martin,2TM,PF,43.0,21.2,6.4,2.9,1.1,0.4,0.5,0.552,0.259,0.787,16.78106666666667,314,444967,available,0,
Marcus Smart,WAS,PG,15.0,18.7,9.3,1.9,2.5,1.1,0.2,0.44,0.392,0.686,16.755366666666667,315,374012,available,0,
Dorian Finney-Smith,2TM,PF,63.0,28.9,8.7,3.9,1.4,0.9,0.4,0.448,0.411,0.667,16.6923,316,686789,available,0,
Jay Huff,MEM,C,64.0,11.7,6.9,2.0,0.6,0.3,0.9,0.515,0.405,0.786,16.6002,317,886959,available,0,
Kyle Anderson,2TM,PF,61.0,16.4,5.9,3.4,2.4,0.7,0.5,0.469,0.357,0.738,16.491199999999996,318,838378,available,0,
Jaylen Wells,MEM,SG,79.0,25.9,10.4,3.4,1.7,0.6,0.1,0.425,0.352,0.822,16.2033,319,15499,available,0,
Nick Richards,CHO,C,21.0,21.0,8.9,7.5,1.3,0.3,1.2,0.561,0.0,0.678,16.153,320,194633,available,0,
